source_path,source_type,status,plate_number,confidence,valid_format,frame_index,runtime_sec,plate_bbox,,
C:\Users\PC\Automatic-License-Plate-Recognition-using-YOLOv8\video test4\3658490866970759605.mp4,video,no_detection,,0,0,-1,39.1281,,yellow plate,
C:\Users\PC\Automatic-License-Plate-Recognition-using-YOLOv8\video test4\4642528874687932643.mp4,video,no_detection,,0,0,-1,43.5008,,van plate,
C:\Users\PC\Automatic-License-Plate-Recognition-using-YOLOv8\video test4\4830710752489900667.mp4,video,no_detection,,0,0,-1,22.5702,,yellow plate- 50H-546.59,
C:\Users\PC\Automatic-License-Plate-Recognition-using-YOLOv8\video test4\6365062326986149485.mp4,video,detected,93A-330.01,1.0969,1,9,15.8263,"[263.76611328125, 568.476318359375, 486.55712890625, 675.497314453125]",,"dazzling, dirty plate"
C:\Users\PC\Automatic-License-Plate-Recognition-using-YOLOv8\video test4\6447377155332510298.mp4,video,detected,79A-271.15,1.1183,1,141,30.1378,"[247.05792236328125, 593.0655517578125, 505.72998046875, 678.9635009765625]",A little bit foggy video,
C:\Users\PC\Automatic-License-Plate-Recognition-using-YOLOv8\video test4\7413930144031822349.mp4,video,detected,51F-005.44,1.0777,1,51,29.9895,"[205.84130859375, 826.3236694335938, 489.8018798828125, 923.4483032226562]",,
C:\Users\PC\Automatic-License-Plate-Recognition-using-YOLOv8\video test4\9053030807548550653.mp4,video,detected,51H-298.32,1.1155,1,191,34.1722,"[217.584716796875, 822.5740966796875, 563.8897705078125, 938.3011474609375]",,
C:\Users\PC\Automatic-License-Plate-Recognition-using-YOLOv8\video test4\sample2.mp4,video,detected,30K-934.81,0.9477,1,37,44.0866,"[649.379150390625, 528.8255615234375, 932.18212890625, 625.7591552734375]",,
C:\Users\PC\Automatic-License-Plate-Recognition-using-YOLOv8\video test4\sample223.mp4,video,detected,93A-542.83,0.8817,1,124,133.5135,"[469.09771728515625, 769.4366455078125, 825.806884765625, 938.62353515625]",,
C:\Users\PC\Automatic-License-Plate-Recognition-using-YOLOv8\video test4\sample2nnn.mp4,video,detected,51M-781.03,0.7765,1,103,54.2795,"[261.24542236328125, 810.6260375976562, 604.1676025390625, 954.1887817382812]",,
,,,,,,,,,,
 BATCH SUMMARY videotest4,,,,,,,,,,
Total sources: 10,,,,,,,,,,
Detected: 7,,,,,,,,,,
Valid format: 7,,,,,,,,,,
Total folder time: 447.68 seconds,,,,,,,,,,
Average time per source: 44.77 seconds,,,,,,,,,,
